"project_id","contract_id","project_name","active","complete","locked","website"
"0x059edd72cd353df5106d2b9cc5ab83a52287ac3a-0","0x059edd72cd353df5106d2b9cc5ab83a52287ac3a","Chromie Squiggle","True","False","True","https://www.twitter.com/artonblockchain"
"0x059edd72cd353df5106d2b9cc5ab83a52287ac3a-1","0x059edd72cd353df5106d2b9cc5ab83a52287ac3a","Genesis","True","True","True","https://www.instagram.com/dacaldera/"
"0x059edd72cd353df5106d2b9cc5ab83a52287ac3a-2","0x059edd72cd353df5106d2b9cc5ab83a52287ac3a","Construction Token","True","True","True","https://www.jeffgdavis.com/"
"0x28f2d3805652fb5d359486dffb7d08320d403240-0","0x28f2d3805652fb5d359486dffb7d08320d403240","The Family Mooks","True","False","False",""
"0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270-10","0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270","NimBuds","True","True","True",""
"0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270-100","0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270","CENTURY","True","True","False","https://reas.com"
"0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270-101","0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270","Enchiridion","True","True","False","https://instagram.com/generativeartworks/"
"0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270-102","0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270","I Saw It in a Dream","True","True","False","https://steviep.xyz/i-saw-it-in-a-dream"
"0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270-103","0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270","Octo Garden","True","True","False","https://www.richlord.com/octo-garden"
"0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270-104","0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270","Eccentrics","True","True","False",""
"0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270-105","0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270","Gizmobotz","True","True","False","https://www.instagram.com/cottonchipper/"
